English,Urdu
I want a sandwich,مجھے سینڈوچ چاہیے
Can you fill my glass?,کیا آپ میرا گلاس بھر سکتے ہیں؟
I like vegetable soup,مجھے سبزیوں کا سوپ پسند ہے
Do you like kiwi?,کیا آپ کو کیوی پسند ہے؟
I’m going to drink mango smoothie,میں آم کا اسموتھی پینے جا رہا ہوں
Do you want banana smoothie?,کیا آپ کو کیلے کا اسموتھی چاہیے؟
It’s very quiet here,یہاں بہت خاموش ہے
Can you give me a haircut?,کیا آپ میرا ہیئر کٹ کر سکتے ہیں؟
Do you want to go for a walk?,کیا آپ سیر پر جانا چاہتے ہیں؟
Do you want pear juice?,کیا آپ کو ناشپاتی کا رس چاہیے؟
I don’t like beef,مجھے گوشت پسند نہیں ہے
Do you want cold brew?,کیا آپ کو کولڈ برو چاہیے؟
I don’t like fish,مجھے مچھلی پسند نہیں ہے
Do you like black tea?,کیا آپ سیاہ چائے پسند کرتے ہیں؟
I’m drinking some cold water,میں ٹھنڈا پانی پی رہا ہوں
The movie was great,فلم بہت اچھی تھی
I’m eating a pear,میں ناشپاتی کھا رہا ہوں
I’m sending an email to my boss,میں اپنے باس کو ای میل بھیج رہا ہوں
Do you want some ice cream?,کیا آپ کو آئس کریم چاہیے؟
I like black coffee,مجھے سیاہ کافی پسند ہے
I’m sorry I’m late,مجھے دیر ہونے کا افسوس ہے
Do you want some cherries?,کیا آپ کو چیریاں چاہیے؟
I like milk coffee,مجھے دودھ والی کافی پسند ہے
I’m cooking some rice,میں چاول پکا رہا ہوں
I don’t feel like working today,آج مجھے کام کرنے کا دل نہیں کر رہا
This is too salty,یہ بہت نمکین ہے
I need some coffee,مجھے کچھ کافی چاہیے
Can you bring me a glass of water?,کیا آپ مجھے پانی کا گلاس لا سکتے ہیں؟
I’m feeling much better,میں بہت بہتر محسوس کر رہا ہوں
I think I’m lost,مجھے لگتا ہے کہ میں کھو گیا ہوں
I’m going to drink lemon tea with mint,میں پودینہ والی لیموں کی چائے پینے جا رہا ہوں
Can you wait a minute?,کیا آپ ایک منٹ انتظار کر سکتے ہیں؟
Are you enjoying?,کیا آپ لطف اندوز ہو رہے ہیں؟
I like eating cupcakes,مجھے کپکیک کھانا پسند ہے
I’m drinking pomegranate juice,میں انار کا رس پی رہا ہوں
I need to charge my phone,مجھے اپنا فون چارج کرنا ہے
I’m going to drink spinach juice,میں اسپینچ کا رس پینے جا رہا ہوں
I’m making breakfast,میں ناشتہ بنا رہا ہوں
I’m eating a mango,میں آم کھا رہا ہوں
I’m drinking black coffee,میں سیاہ کافی پی رہا ہوں
I like pears,مجھے ناشپاتی پسند ہے
I’m going to make some iced tea,میں آئسڈ چائے بنانے جا رہا ہوں
I’m planning to go shopping,میں خریداری کے لئے جانے کا ارادہ رکھتا ہوں
I need new shoes,مجھے نئے جوتے چاہیے
I’m going to drink cold matcha,میں ٹھنڈی مچا پینے جا رہا ہوں
I’m going to a party tomorrow,میں کل ایک پارٹی میں جا رہا ہوں
Do you want to eat some cookies?,کیا آپ کچھ کوکیز کھانا چاہتے ہیں؟
Can you open the door?,کیا آپ دروازہ کھول سکتے ہیں؟
I’m drinking some soda,میں سوڈا پی رہا ہوں
I like eating ice cream,مجھے آئس کریم کھانا پسند ہے
I’m drinking honey latte,میں شہد والا لٹے پی رہا ہوں
I like fresh lemon juice,مجھے تازہ لیموں کا جوس پسند ہے
I’m drinking blueberry smoothie,میں بلوبیری کا اسموتھی پی رہا ہوں
I like to drink ginger-lemon tea,مجھے ادرک لیموں کی چائے پینا پسند ہے
I like to drink vegetable juice,مجھے سبزیوں کا رس پینا پسند ہے
I’m going to drink flat white,میں فلیٹ وائٹ پینے جا رہا ہوں
I don’t agree,میں متفق نہیں ہوں
I need to buy groceries,مجھے سودا سلف خریدنا ہے
Do you want iced matcha?,کیا آپ کو آئسڈ مچا چاہیے؟
She is studying in the library,وہ کتب خانے میں پڑھ رہی ہے
She is a good singer,وہ ایک اچھی گلوکارہ ہے
It’s time to study,پڑھائی کا وقت ہو گیا ہے
Do you have any plans for tomorrow?,کیا آپ کا کل کے لئے کوئی منصوبہ ہے؟
I’m learning English,میں انگریزی سیکھ رہا ہوں
What did you have for dinner?,آپ نے رات کے کھانے میں کیا کھایا؟
I like to drink herbal tea,مجھے جڑی بوٹیوں کی چائے پینا پسند ہے
I’m going to buy some bananas,میں کچھ کیلے خریدنے جا رہا ہوں
I don’t know,مجھے نہیں معلوم
This is a good place to visit,یہ ایک اچھا جگہ ہے جہاں آپ جا سکتے ہیں
Can I help you with that?,کیا میں آپ کی مدد کر سکتا ہوں؟
Do you want milk coffee?,کیا آپ دودھ والی کافی چاہتے ہیں؟
Do you want lemon tea with mint?,کیا آپ کو پودینہ والی لیموں کی چائے چاہیے؟
I need some sugar,مجھے چینی چاہیے
I’m going to drink hot chocolate,میں گرم چاکلیٹ پینے جا رہا ہوں
Can you get me some mangoes?,کیا آپ مجھے کچھ آم لا سکتے ہیں؟
I have to go to the airport,مجھے ہوائی اڈے جانا ہے
I’m going to drink herbal water,میں جڑی بوٹیوں کا پانی پینے جا رہا ہوں
I’m going to drink a latte,میں لیٹے پینے جا رہا ہوں
Do you want vegetable juice?,کیا آپ کو سبزیوں کا رس چاہیے؟
I like to drink caramel macchiato,مجھے کیریمل میکیاٹو پینا پسند ہے
I’m making a birthday cake,میں جنم دن کا کیک بنا رہا ہوں
Do you want espresso?,کیا آپ کو ایسپریسو چاہیے؟
I need to send an email,مجھے ایک ای میل بھیجنی ہے
I’m going to make a fruit salad,میں پھلوں کا سلاد بنانے جا رہا ہوں
I like fruit water,مجھے پھلوں کا پانی پسند ہے
I’m going to the doctor,میں ڈاکٹر کے پاس جا رہا ہوں
I’m baking some bread,میں روٹی پکا رہا ہوں
I like eating strawberries,مجھے اسٹرابیری کھانا پسند ہے
I don’t like bananas,مجھے کیلے پسند نہیں ہیں
I’m going to drink some chai,میں چائے پینے جا رہا ہوں
I like to read books,مجھے کتابیں پڑھنا پسند ہے
I’m drinking iced matcha,میں آئسڈ مچا پی رہا ہوں
He is a businessman,وہ کاروباری شخص ہے
I need to buy some ice cream,مجھے آئس کریم خریدنی ہے
I’m drinking hot chocolate,میں گرم چاکلیٹ پی رہا ہوں
I have a lot of emails to check,میرے پاس بہت سی ای میلز چیک کرنے کے لئے ہیں
I’m going to drink some herbal tea,میں جڑی بوٹیوں کی چائے پینے جا رہا ہوں
I like to drink white tea,مجھے سفید چائے پینا پسند ہے
I’m so thirsty,مجھے بہت پیاس لگی ہے
This is a beautiful place,یہ ایک خوبصورت جگہ ہے
I need to lose weight,مجھے وزن کم کرنے کی ضرورت ہے
I like to drink honey latte,مجھے شہد والا لٹے پینا پسند ہے
Do you like pineapple?,کیا آپ کو انناس پسند ہے؟
I’m going to buy some clothes,میں کچھ کپڑے خریدنے جا رہا ہوں
I like eating fish,مجھے مچھلی کھانا پسند ہے
Can you open the window?,کیا آپ کھڑکی کھول سکتے ہیں؟
Where is the nearest restaurant?,قریب ترین ریستوران کہاں ہے؟
I’m eating some kiwi,میں کچھ کیوی کھا رہا ہوں
I’m trying to find a solution,میں حل تلاش کرنے کی کوشش کر رہا ہوں
I’m drinking black tea,میں سیاہ چائے پی رہا ہوں
I need to buy some fish,مجھے کچھ مچھلی خریدنی ہے
Let’s go to the movies,چلیں سینما چلتے ہیں
I like to drink green tea with lemon,مجھے لیموں والی سبز چائے پینا پسند ہے
I’m going to drink detox water,میں ڈی ٹاکس پانی پینے جا رہا ہوں
Let’s have some coffee,چلیں کچھ کافی پیتے ہیں
I like to drink cold chocolate,مجھے ٹھنڈی چاکلیٹ پینا پسند ہے
Do you want guava juice?,کیا آپ کو آم جوس چاہیے؟
I like hot chocolate,مجھے گرم چاکلیٹ پسند ہے
I like mangoes,مجھے آم پسند ہیں
I enjoy playing cricket,مجھے کرکٹ کھیلنا پسند ہے
I need to book a room,مجھے ایک کمرہ بک کرنا ہے
Do you want coconut water?,کیا آپ کو ناریل کا پانی چاہیے؟
I’m drinking fresh apple juice,میں تازہ سیب کا جوس پی رہا ہوں
I’m drinking lemon water,میں لیموں کا پانی پی رہا ہوں
Can you give me an apple?,کیا آپ مجھے سیب دے سکتے ہیں؟
I like to drink cold matcha,مجھے ٹھنڈی مچا پینا پسند ہے
I’m going to make some cupcakes,میں کچھ کپکیک بنانے جا رہا ہوں
I need more time,مجھے مزید وقت چاہیے
I don’t like parties,مجھے پارٹیاں پسند نہیں ہیں
Do you want to eat some fruit?,کیا آپ کچھ پھل کھانا چاہتے ہیں؟
I like mild food,مجھے ہلکا کھانا پسند ہے
I walk every morning,میں ہر صبح سیر کے لئے جاتا ہوں
Can you bring me a drink?,کیا آپ مجھے مشروب لا سکتے ہیں؟
I like to drink aloe vera juice,مجھے ایلو ویرا کا رس پینا پسند ہے
Do you want black tea?,کیا آپ کو کالی چائے چاہیے؟
Please speak in English,براہ کرم انگریزی میں بات کریں
I’m going to drink pomegranate juice,میں انار کا رس پینے جا رہا ہوں
I’m free now,میں اب آزاد ہوں
This is a great idea,یہ ایک بہترین خیال ہے
I’m cooking some chicken,میں چکن پکا رہا ہوں
Can you make white tea?,کیا آپ سفید چائے بنا سکتے ہیں؟
I’m going to eat some chicken,میں کچھ چکن کھانے جا رہا ہوں
I like to eat bananas,مجھے کیلے کھانا پسند ہیں
Do you want to come with me?,کیا آپ میرے ساتھ آنا چاہتے ہیں؟
Hello,سلام
I have two brothers,میرے دو بھائی ہیں
Let’s go to the park,چلیں پارک چلتے ہیں
How do you feel?,آپ کیسا محسوس کر رہے ہیں؟
I’m not interested in politics,مجھے سیاست میں دلچسپی نہیں ہے
I like attending weddings,مجھے شادیوں میں جانا پسند ہے
I like to eat strawberries,مجھے اسٹرابیری کھانا پسند ہے
Can you make fresh orange juice?,کیا آپ تازہ سنترے کا جوس بنا سکتے ہیں؟
I’m drinking grape juice,میں انگور کا رس پی رہا ہوں
Do you want apple water?,کیا آپ کو سیب کا پانی چاہیے؟
I like to drink chai latte,مجھے چائے لٹے پینا پسند ہے
I’m drinking iced coffee with milk,میں دودھ والی ٹھنڈی کافی پی رہا ہوں
I need to bake a cake,مجھے کیک بیک کرنا ہے
I like eating spaghetti,مجھے اسپگیٹی کھانا پسند ہے
I like to drink fruit soda,مجھے پھلوں کا سوڈا پینا پسند ہے
I’m drinking orange juice,میں سنترے کا رس پی رہا ہوں
I need to find a taxi,مجھے ایک ٹیکسی تلاش کرنی ہے
I’m having a sandwich for lunch,میں دوپہر کے کھانے کے لئے سینڈوچ کھا رہا ہوں
I like to eat toast for breakfast,مجھے ناشتہ میں ٹوسٹ کھانا پسند ہے
Do you want ginger tea with lemon?,کیا آپ کو ادرک اور لیموں کی چائے چاہیے؟
I’m a vegetarian,میں سبزی خور ہوں
I have an idea,میرے پاس ایک خیال ہے
I’m looking for a new laptop,میں نیا لیپ ٹاپ تلاش کر رہا ہوں
I’m going to drink cucumber water,میں کھیرے کا پانی پینے جا رہا ہوں
Can I have a pear?,کیا مجھے ناشپاتی مل سکتی ہے؟
I like to drink beetroot juice,مجھے چقندر کا رس پینا پسند ہے
I need to take a shower,مجھے شاور لینا ہے
I like to eat mixed fruits,مجھے مکس پھل کھانا پسند ہے
I need to make some sandwiches,مجھے کچھ سینڈوچ بنانا ہیں
I’m going to drink iced coffee,میں ٹھنڈی کافی پینے جا رہا ہوں
I’m going to make a sandwich,میں سینڈوچ بنانے جا رہا ہوں
This movie is very boring,یہ فلم بہت بورنگ ہے
I have a meeting later,میرے پاس بعد میں ایک میٹنگ ہے
I’m making hot chocolate,میں گرم چاکلیٹ بنانے جا رہا ہوں
Do you want rose tea?,کیا آپ کو گلاب کی چائے چاہیے؟
I’m drinking almond milk,میں بادام کا دودھ پی رہا ہوں
Where is the nearest ATM?,قریب ترین اے ٹی ایم کہاں ہے؟
Can you please pass the salt?,کیا آپ براہ کرم نمک دے سکتے ہیں؟
I’m going to buy some beef,میں گوشت خریدنے جا رہا ہوں
I’m going to make some lemonade,میں لیموں پانی بنانے جا رہا ہوں
I’m going to drink some tonic water,میں ٹانک پانی پینے جا رہا ہوں
Can you make chai?,کیا آپ چائے بنا سکتے ہیں؟
Do you want watermelon juice?,کیا آپ کو تربوز کا رس چاہیے؟
This is too expensive,یہ بہت مہنگا ہے
I love this song,مجھے یہ گانا پسند ہے
I’m going to eat a fruit salad,میں پھلوں کا سلاد کھانے جا رہا ہوں
Can I have an apple?,کیا مجھے ایک سیب مل سکتا ہے؟
I like to drink mixed fruit smoothie,مجھے مکس پھلوں کا اسموتھی پینا پسند ہے
I’m going to drink mango juice,میں آم کا رس پینے جا رہا ہوں
I’m learning how to drive,میں ڈرائیونگ سیکھ رہا ہوں
I like to drink mint water,مجھے پودینہ کا پانی پینا پسند ہے
I’m going to drink kiwi juice,میں کیوی کا رس پینے جا رہا ہوں
I like to drink ginger tea with lemon,مجھے ادرک اور لیموں کی چائے پینا پسند ہے
Do you want hot coffee?,کیا آپ کو گرم کافی چاہیے؟
I like going to the gym,مجھے جم جانا پسند ہے
Do you have any suggestions?,کیا آپ کے پاس کوئی تجاویز ہیں؟
I don’t eat vegetables,میں سبزیاں نہیں کھاتا
Can you pass the salt?,کیا آپ نمک دے سکتے ہیں؟
I’m going to peel the mango,میں آم چھلنے جا رہا ہوں
Do you have a pen?,کیا آپ کے پاس پین ہے؟
I don’t have time,میرے پاس وقت نہیں ہے
How old are you?,آپ کی عمر کتنی ہے؟
It’s a beautiful evening,یہ ایک خوبصورت شام ہے
Can you help me with this homework?,کیا آپ میری اس ہوم ورک میں مدد کر سکتے ہیں؟
I’m preparing lunch,میں دوپہر کا کھانا تیار کر رہا ہوں
Can I have some water?,کیا مجھے پانی مل سکتا ہے؟
I like chicken soup,مجھے چکن کا سوپ پسند ہے
Do you want aloe vera juice?,کیا آپ کو ایلو ویرا کا رس چاہیے؟
Do you want mint water?,کیا آپ کو پودینہ کا پانی چاہیے؟
I don’t understand this,مجھے یہ سمجھ نہیں آ رہا
I’m making some soup,میں سوپ بنا رہا ہوں
I’m drinking ginger tea with lemon,میں ادرک اور لیموں کی چائے پی رہا ہوں
I’m going to drink coffee with milk,میں دودھ والی کافی پینے جا رہا ہوں
I am very tired,میں بہت تھکا ہوا ہوں
I’ll help you,میں آپ کی مدد کروں گا
"Yes, I understand",ہاں، میں سمجھتا ہوں
I need to focus,مجھے توجہ مرکوز کرنی ہے
I’m eating lunch now,میں ابھی دوپہر کا کھانا کھا رہا ہوں
I’m going to the park to relax,میں آرام کرنے کے لئے پارک جا رہا ہوں
Do you want pineapple juice?,کیا آپ کو انناس کا رس چاہیے؟
I am reading a newspaper,میں اخبار پڑھ رہا ہوں
Do you want carrot juice?,کیا آپ کو گاجر کا رس چاہیے؟
I’m excited to meet you,مجھے آپ سے مل کر خوشی ہو رہی ہے
I like fresh fruit juice,مجھے تازہ پھلوں کا جوس پسند ہے
"Can I have the bill, please?",کیا مجھے بل مل سکتا ہے؟
I’m going to eat some chips,میں کچھ چپس کھانے جا رہا ہوں
I like to eat seafood,مجھے سمندری کھانا کھانا پسند ہے
I don’t know,مجھے نہیں پتا
He is cooking dinner,وہ رات کا کھانا پکا رہا ہے
I’ll be back in an hour,میں ایک گھنٹے میں واپس آ جاؤں گا
I am feeling tired,میں تھکا ہوا محسوس کر رہا ہوں
I’m going to sleep now,میں اب سونے جا رہا ہوں
I’m going to drink some sweet lime juice,میں میٹھے چونے کا جوس پینے جا رہا ہوں
Do you want kiwi juice?,کیا آپ کو کیوی کا رس چاہیے؟
I’m drinking some filtered water,میں فلٹر شدہ پانی پی رہا ہوں
My parents are teachers,میرے والدین اساتذہ ہیں
Do you want some coffee?,کیا آپ کو کافی چاہیے؟
Can you make herbal tea?,کیا آپ جڑی بوٹیوں کی چائے بنا سکتے ہیں؟
What kind of clothes do you like?,آپ کس قسم کے کپڑے پسند کرتے ہیں؟
Please pass the salt,براہ کرم نمک دے دیں
I need to buy some fresh juice,مجھے کچھ تازہ جوس خریدنا ہے
I like to drink kale smoothie,مجھے کیل کا اسموتھی پینا پسند ہے
I like cooking,مجھے کھانا پکانا پسند ہے
Do you like chocolate chip cookies?,کیا آپ کو چاکلیٹ چپ کوکیز پسند ہیں؟
This restaurant is very cheap,یہ ریستوران بہت سستا ہے
Can you make tea?,کیا آپ چائے بنا سکتے ہیں؟
Do you want caramel macchiato?,کیا آپ کو کیریمل میکیاٹو چاہیے؟
I’m going to drink instant coffee,میں انسٹنٹ کافی پینے جا رہا ہوں
I’m eating a pineapple,میں انناس کھا رہا ہوں
I’m going to drink pineapple juice,میں انناس کا رس پینے جا رہا ہوں
Do you want kale smoothie?,کیا آپ کو کیل کا اسموتھی چاہیے؟
I’m having a great time,میرا وقت بہت اچھا گزر رہا ہے
I’m drinking pear juice,میں ناشپاتی کا رس پی رہا ہوں
I’m going to drink black coffee,میں کالی کافی پینے جا رہا ہوں
Do you want soy milk?,کیا آپ کو سویا دودھ چاہیے؟
Can I have a drink?,کیا مجھے مشروب مل سکتا ہے؟
I’m doing my homework,میں اپنا ہوم ورک کر رہا ہوں
I like your haircut,مجھے آپ کا ہیئر کٹ پسند ہے
I’m going to drink carrot juice,میں گاجر کا رس پینے جا رہا ہوں
I’m drinking green tea,میں سبز چائے پی رہا ہوں
Do you want cucumber water?,کیا آپ کو کھیرے کا پانی چاہیے؟
Do you want to play a game?,کیا آپ کوئی کھیل کھیلنا چاہتے ہیں؟
I like to eat grapes,مجھے انگور کھانا پسند ہیں
I’m going to drink some cappuccino,میں کیپوچینو پینے جا رہا ہوں
Do you want ginger-lemon tea?,کیا آپ کو ادرک لیموں کی چائے چاہیے؟
I’m drinking macchiato,میں میکیاٹو پی رہا ہوں
"I’m sorry, I didn’t hear you",مجھے افسوس ہے، میں نے آپ کو نہیں سنا
I like fresh tomato juice,مجھے تازہ ٹماٹر کا جوس پسند ہے
I went to the gym,میں جم گیا تھا
My day was good,میرا دن اچھا گزرا
I work as a teacher,میں استاد کے طور پر کام کرتا ہوں
What’s your favorite color?,آپ کا پسندیدہ رنگ کیا ہے؟
Do you like to eat fish?,کیا آپ مچھلی کھانا پسند کرتے ہیں؟
I like pineapple,مجھے انناس پسند ہے
I like to drink iced tea with lemon,مجھے لیموں کے ساتھ ٹھنڈی چائے پینا پسند ہے
I’m going to drink green tea,میں سبز چائے پینے جا رہا ہوں
Please wait for me,براہ کرم میرا انتظار کریں
Can I have a glass of water?,کیا مجھے پانی کا گلاس مل سکتا ہے؟
I like to drink papaya juice,مجھے پپیتے کا رس پینا پسند ہے
I’m going to drink white tea,میں سفید چائے پینے جا رہا ہوں
I like chocolate cake,مجھے چاکلیٹ کا کیک پسند ہے
I need to relax,مجھے آرام کرنے کی ضرورت ہے
I like to drink vanilla latte,مجھے وینیلا لٹے پینا پسند ہے
I’m drinking instant coffee,میں انسٹنٹ کافی پی رہا ہوں
I’m going to drink pineapple smoothie,میں انناس کا اسموتھی پینے جا رہا ہوں
I’m drinking rose tea,میں گلاب کی چائے پی رہا ہوں
It’s no problem,کوئی مسئلہ نہیں ہے
I like to drink iced coffee with milk,مجھے دودھ والی ٹھنڈی کافی پینا پسند ہے
I’m drinking latte,میں لیٹے پی رہا ہوں
I like your suggestion,مجھے آپ کی تجویز پسند ہے
I’m not hungry,مجھے بھوک نہیں ہے
Do you like sparkling water?,کیا آپ کو اسپارکلنگ پانی پسند ہے؟
I’m drinking lemon tea,میں لیموں کی چائے پی رہا ہوں
Do you like soup?,کیا آپ کو سوپ پسند ہے؟
I’m drinking protein shake,میں پروٹین شیک پی رہا ہوں
I’m going to buy a gift for my friend,میں اپنے دوست کے لیے تحفہ خریدنے جا رہا ہوں
I like white tea,مجھے سفید چائے پسند ہے
I’m drinking banana smoothie,میں کیلے کا اسموتھی پی رہا ہوں
Can you make fresh grape juice?,کیا آپ تازہ انگور کا جوس بنا سکتے ہیں؟
I am from Pakistan,میں پاکستان سے ہوں
This book is very interesting,یہ کتاب بہت دلچسپ ہے
Do you want honey and ginger tea?,کیا آپ کو شہد اور ادرک کی چائے چاہیے؟
Do you understand?,کیا آپ سمجھتے ہیں؟
I like to drink ginger water,مجھے ادرک کا پانی پینا پسند ہے
I’m going to drink ginger tea with lemon,میں ادرک اور لیموں کی چائے پینے جا رہا ہوں
I’m going to drink some strong coffee,میں مضبوط کافی پینے جا رہا ہوں
I like cold water,مجھے ٹھنڈا پانی پسند ہے
I like to drink flat white,مجھے فلیٹ وائٹ پینا پسند ہے
Do you want some fruit water?,کیا آپ کو پھلوں کا پانی چاہیے؟
I like to drink cappuccino,مجھے کیپوچینو پینا پسند ہے
I’m looking for my glasses,میں اپنی عینک تلاش کر رہا ہوں
Do you want spinach juice?,کیا آپ کو اسپینچ کا رس چاہیے؟
I like eating dumplings,مجھے دُمپلنگ کھانا پسند ہے
I like to drink detox water,مجھے ڈی ٹاکس پانی پینا پسند ہے
I’m drinking sweet tea,میں میٹھی چائے پی رہا ہوں
I’m excited for the weekend,مجھے ہفتے کے آخر کا انتظار ہے
I like peaches,مجھے آڑو پسند ہیں
I’m going to the bakery,میں بیکری جا رہا ہوں
Do you want blueberry smoothie?,کیا آپ کو بلوبیری کا اسموتھی چاہیے؟
Do you want iced mocha?,کیا آپ کو آئسڈ موکا چاہیے؟
Goodbye,الوداع
I’m drinking fresh tomato juice,میں تازہ ٹماٹر کا جوس پی رہا ہوں
I’m going to drink peppermint tea,میں پودینہ کی چائے پینے جا رہا ہوں
Can you please wait?,کیا آپ براہ کرم انتظار کر سکتے ہیں؟
I’m drinking some hot water,میں گرم پانی پی رہا ہوں
This is a big problem,یہ ایک بڑا مسئلہ ہے
I’m eating some toast,میں کچھ ٹوسٹ کھا رہا ہوں
I’m going to drink avocado smoothie,میں ایووکاڈو کا اسموتھی پینے جا رہا ہوں
I’m eating an orange,میں سنترہ کھا رہا ہوں
I’m going to buy a bottle of water,میں پانی کی بوتل خریدنے جا رہا ہوں
I need some help,مجھے مدد چاہیے
Do you want ice in your drink?,کیا آپ اپنے مشروب میں برف چاہتے ہیں؟
I’m having pasta for dinner,میں رات کے کھانے کے لئے پاستا کھا رہا ہوں
He is my friend,وہ میرا دوست ہے
I’m making some chocolate chip cookies,میں چاکلیٹ چپ کوکیز بنا رہا ہوں
I’m eating a banana,میں کیلا کھا رہا ہوں
I’m reading a novel,میں ایک ناول پڑھ رہا ہوں
I need to find my way,مجھے اپنا راستہ تلاش کرنا ہے
I’m going to eat a pear,میں ناشپاتی کھانے جا رہا ہوں
I don’t agree with that,میں اس سے متفق نہیں ہوں
Can you make fresh tomato juice?,کیا آپ تازہ ٹماٹر کا جوس بنا سکتے ہیں؟
I’m drinking chai latte,میں چائے لٹے پی رہا ہوں
I like to drink apple cider vinegar,مجھے سیب کا سرکہ پینا پسند ہے
I can’t help you right now,میں ابھی آپ کی مدد نہیں کر سکتا
I forgot to bring my book,میں اپنا کتاب لانا بھول گیا ہوں
I have a lot of work to do,میرے پاس کرنے کے لئے بہت کام ہے
I don’t like cheese,مجھے پنیر پسند نہیں ہے
I like eating apples,مجھے سیب کھانا پسند ہے
I’m drinking caramel macchiato,میں کیریمل میکیاٹو پی رہا ہوں
I need to get some rest,مجھے کچھ آرام کی ضرورت ہے
I like to drink orange juice,مجھے سنترے کا رس پینا پسند ہے
I like to drink spinach smoothie,مجھے اسپینچ کا اسموتھی پینا پسند ہے
I’m looking for a gift,میں ایک تحفہ تلاش کر رہا ہوں
It’s too far,یہ بہت دور ہے
I work from home,میں گھر سے کام کرتا ہوں
I’m peeling the banana,میں کیلا چھل رہا ہوں
Do you want apple cider vinegar?,کیا آپ کو سیب کا سرکہ چاہیے؟
I have a dentist appointment,میرے پاس ڈینٹسٹ کی ملاقات ہے
I like to drink ginger tea,مجھے ادرک کی چائے پینا پسند ہے
I’m going to make some iced coffee,میں آئسڈ کافی بنانے جا رہا ہوں
Do you want strawberry juice?,کیا آپ کو اسٹرابیری کا رس چاہیے؟
Can you turn off the lights?,کیا آپ لائٹس بند کر سکتے ہیں؟
I’m drinking lemon juice,میں لیموں کا جوس پی رہا ہوں
I’m going to drink oat milk,میں جو کا دودھ پینے جا رہا ہوں
I’m going to drink iced coffee with milk,میں دودھ والی ٹھنڈی کافی پینے جا رہا ہوں
I’m having breakfast now,میں ابھی ناشتہ کر رہا ہوں
I like sweet lime juice,مجھے میٹھے چونے کا جوس پسند ہے
I don’t like sweet food,مجھے میٹھا کھانا پسند نہیں ہے
Do you want fruit punch?,کیا آپ کو پھلوں کا پنچ چاہیے؟
Do you want vanilla latte?,کیا آپ کو وینیلا لٹے چاہیے؟
